"Animal","symptoms1","symptoms2","symptoms3","symptoms4","symptoms5","Dangerous","Gender","Age"
"donkey","Shortness of breath.","Fatigue","chirping","loss of appetite","swollen abdomen","Yes","Male",23
"chicken","Heavy Breathing","Yellow in beak","Tail_Bobbing","Weakness","Sleeping Excessively","Yes","Male",4
"buffaloes","Fever","Rhinorrhea","Coughing","Sneezing","Dehydration","Yes","Female",12
"sheep","Formation of vesicles","Nostrils","Abnormally long leg","Scabs on lip","Pains","Yes","Male",1
"donkey","Excessive blood loss","dizziness and fainting","Blurry vision","watery eyes","slow growth","Yes","Male",3
"sheep","Skin color change","Crusty","Scaly skin","Irritation","Blister","Yes","Female",3
"sheep","Swaying","Behaviour change","Tremor","Jerky limb movements","Pains","Yes","Female",1
"buffaloes","Swelling on leg","Painfull","Poor Appetite","Broken Bones","Nasal Discharge","Yes","Male",6
"sheep","Fever","Loss of Appetite","Scartches","Death","Pains","Yes","Male",1
"sheep","Emaciation","Diarrhea","Coughing","Weight loss","Death","Yes","Female",6
"sheep","Fever","Excession Salivation","Abnormal conformation","Ulcerated muscle","Ulcerated ear","Yes","Male",9
"buffaloes","Fever","Difficulty breathing","Poor Appetite","Eye and Skin change","Unable to exercise","Yes","Male",5
"pigs","Fever","Difficulty in breathing","Coughing","Sneezing","Seizures","Yes","Female",7
"duck","difficulty swallowing","cough ","difficulty swallowing","gasping for air","extending its neck","Yes","Female",2
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",4
"buffaloes","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Female",17
"duck","Limping","Willnot run to jump","Swelling ","Week legs","Pain on leg","Yes","Male",2
"buffaloes","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Female",16
"pigs","Fever","Difficulty in breathing","Coughing","Sneezing","Seizures","Yes","Female",9
"duck","Fever","Diarrhea","Vomiting","Weight loss","Dehydration","Yes","Male",9
"sheep","Wandering","Circling","Blindness","Head Pressing","Recumbency","Yes","Female",4
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",18
"chicken","Forthy eye","Torticollis","Weakness","Swelling","Emaciation","Yes","Male",1
"buffaloes","Fever","Death","Coughing","Weight loss","Nasal Discharge","Yes","Male",28
"buffaloes","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",8
"donkey","Bad breath","Pawing at the face or nose","cough ","Sneezing","Bleeding from the nose","Yes","Female",1
"buffaloes","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Female",9
"sheep","Discharge From eyes","Redness of eye","Blindness","Scartches","Pains","Yes","Male",8
"chicken","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Male",1
"pigs","Fever","Lameness","Wasting","Blindness","Staggering","Yes","Female",1
"sheep","Foul Smelling","Diarrhea","Colic","Bloody discharge","Blood Clots","Yes","Male",6
"fowl","Constant pacing","Facial muscle twitching","abnormalalities","Blindness","Muscle pain","Yes","Male",5
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",27
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",6
"buffaloes","Dyspnea","Sneezing","Coughing","Difficulty in breathing","Pain","Yes","Female",14
"fowl","Passing of undigested food","Diarrhea","Vomiting","Gas or bloating","Dehydration","Yes","Male",3
"buffaloes","Fever","Hepatitis","Skin rashes","Weight loss","Pain","No","Male",19
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",15
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",9
"buffaloes","Emaciation","Diarrhea","Kid moratality","Weakness","Anemia","Yes","Male",6
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",2
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",15
"duck","Fever","Difficulty breathing","Coughing","Eye and Skin change","Unable to exercise","Yes","Male",6
"duck","Fever","Diarrhea","Poor Appetite","Weight loss","Vomitting","Yes","Male",11
"donkey","cough ","gasping for air","Weight loss","gasping for breath","extending its neck","Yes","Female",3
"buffaloes","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Male",16
"chicken","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",1
"buffaloes","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",17
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",8
"fowl","Fever","Respiratory distress","Occular discharge","Mouth lesion","Nasal Discharge","Yes","Female",9
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",3
"buffaloes","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Female",25
"donkey","Bad breath","Pawing at the face or nose","cough ","Sneezing","Bleeding from the nose","Yes","Female",33
"pigs","Bloody Diarhhea","Depression","Dullness","Death","Weakness","Yes","Female",4
"sheep","Decreased growth of bone","Depression","Grunting","Lameness","Weight loss","Yes","Male",3
"chicken","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",3
"buffaloes","Drooping ears","Lack of coordination","Drooling","Wasting","Listlessness","Yes","Female",20
"donkey","sweating","dry or tacky gums","reduced appetite","lying down","dull ness","Yes","Female",15
"fowl","Upset stomach","Loss of appetite","Nause","Weight loss","Abdonormal pain","Yes","Female",8
"fowl","General malaise","Hepatic failure","Vomiting","Weight loss","Abdonormal pain","Yes","Female",7
"duck","Fever","Diarrhea","Poor Appetite","Weight loss","Vomitting","Yes","Male",11
"chicken","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Male",1
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",7
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",6
"buffaloes","Forthy eye","Torticollis","Weakness","Swelling","Emaciation","Yes","Male",27
"donkey","outstretched neck","dull ness","inappetence","noisy breathing","coughing","Yes","Female",1
"chicken","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",9
"pigs","Hyperexcitability","Muscular Spasms","Gums","Death","Pains","Yes","Female",1
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",2
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",24
"buffaloes","Emaciation","Difficulty in breathing","Vomiting","Weakness","Diarrhea","Yes","Male",20
"sheep","Red skin","Loss of appetite","Moist","Lameness","Pains","Yes","Male",10
"duck","Fever","Swelling of face or leg","Poor Appetite","Depression","Pains","Yes","Female",10
"pigs","lllthrift","Bottle jaw","Strange behaviour","Aneamia","Jaundice","Yes","Female",12
"chicken","egg production decreases","stunted growth","Blindness","Distinctive bumps","Facial swelling","Yes","Male",2
"sheep","Swaying","Behaviour change","Tremor","Jerky limb movements","Pains","Yes","Female",2
"buffaloes","Watering of eyes","Redness of white of the eye","Swelling of eyelid","Cornea become cloudy","Tear production","Yes","Female",21
"duck","Loss of eat","Fell unwell","Lethargy","Weight loss","Skin issue","Yes","Male",2
"pigs","Respiratory distress","Diarrhea","Death","Reduce milk ","Weight loss","Yes","Female",12
"buffaloes","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Male",19
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",9
"buffaloes","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Male",26
"chicken","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",3
"donkey","weakness","decreased stool production","distended stomach","heavy breathing","restless movement","Yes","Male",10
"chicken","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",9
"donkey","outstretched neck","dull ness","inappetence","noisy breathing","coughing","Yes","Female",30
"goat","Berberi","Wasting","Nervous","Weight loss","Anorexia","Yes","Female",9
"sheep","Fever","Lack of coordination","Painfull to touch","Circling","Depression","Yes","Male",7
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",13
